M,iv,S,P,K,option,tau
1.0058733333,0.5056,9052.86,307.79724,9000.0,C,0.0219178082
1.0339828571,0.4942,9047.35,452.3675,8750.0,C,0.0219178082
1.0339828571,0.5137,9047.35,461.41485,8750.0,C,0.0219178082
1.0329988571,0.5103,9038.74,140.10047,8750.0,P,0.0219178082
1.0329988571,0.5199,9038.74,144.61984,8750.0,P,0.0219178082
1.0029988889,0.5144,9026.99,297.89067,9000.0,C,0.0219178082
1.13059875,0.6032,9044.79,27.13437,8000.0,P,0.0219178082
1.0044144444,0.518,9039.73,244.07271,9000.0,P,0.0219178082
1.0044144444,0.4844,9039.73,289.27136,9000.0,C,0.0219178082
0.9772681081,0.5171,9039.73,194.354195,9250.0,C,0.0219178082
1.033112,0.4835,9039.73,126.55622,8750.0,P,0.0219178082
1.2052973333,0.7669,9039.73,18.07946,7500.0,P,0.0219178082
1.2468593103,0.8332,9039.73,13.559595,7250.0,P,0.0219178082
0.8217936364,0.6674,9039.73,9.03973,11000.0,C,0.0219178082
0.9548726316,0.5114,9071.29,122.462415,9500.0,C,0.0219178082
1.037808,0.5278,9080.82,134.396136,8750.0,P,0.0219178082
1.0089288889,0.4924,9080.36,317.8126,9000.0,C,0.0219178082
1.1341,0.5895,9072.8,22.682,8000.0,P,0.0219178082
1.0088311111,0.4944,9079.48,317.7818,9000.0,C,0.0219178082
0.9805340541,0.4851,9069.94,190.46874,9250.0,C,0.0219178082
1.0077966667,0.5063,9070.17,317.45595,9000.0,C,0.0219178082
1.00773,0.5154,9069.57,229.460121,9000.0,P,0.0219178082
0.906862,0.5647,9068.62,49.87741,10000.0,C,0.0219178082
0.9543757895,0.5148,9066.57,122.398695,9500.0,C,0.0219178082
0.9291302564,0.5175,9059.02,67.94265,9750.0,C,0.0219178082
0.9533452632,0.5315,9056.78,126.79492,9500.0,C,0.0219178082
1.0349634286,0.4849,9055.93,122.255055,8750.0,P,0.0219178082
1.0081022222,0.4851,9072.92,308.47928,9000.0,C,0.0219178082
1.0679741176,0.5196,9077.78,68.08335,8500.0,P,0.0219178082
1.0100011111,0.4846,9090.01,318.15035,9000.0,C,0.0219178082
0.9835967568,0.4898,9098.27,204.711075,9250.0,C,0.0219178082
1.0102644444,0.4856,9092.38,204.57855,9000.0,P,0.0219178082
0.9326974359,0.5486,9093.8,86.3911,9750.0,C,0.0219178082
0.9326974359,0.5486,9093.8,86.3911,9750.0,C,0.0219178082
0.9823005405,0.5011,9086.28,345.27864,9250.0,P,0.0219178082
0.864947619,0.6451,9081.95,27.24585,10500.0,C,0.0219178082
0.9556084211,0.5183,9078.28,127.09592,9500.0,C,0.0219178082
0.907787,0.5457,9077.87,45.38935,10000.0,C,0.0219178082
